Data,Suspeitos,Confirmados,Descartados ,Obitos,Novos Suspeitos,Internados,Curados
23/03/20,16,0,0,0,,,
25/03/20,13,0,3,0,0,,
26/03/20,12,0,4,0,0,,
27/03/20,10,0,6,0,0,,
31/03/20,11,0,6,0,1,,
01/04/20,8,0,9,0,0,,
02/04/20,7,0,10,0,0,,
03/04/20,8,0,10,0,1,,
06/04/20,6,0,13,0,1,,
08/04/20,10,0,14,0,5,,
09/04/20,7,2,15,0,0,,
13/04/20,14,2,18,0,10,,
14/04/20,17,2,24,0,9,,
15/04/20,14,2,39,0,12,,
16/04/20,19,2,42,0,8,,
17/04/20,18,2,43,0,0,,
20/04/20,13,2,48,0,0,,
22/04/20,14,2,48,0,1,,
23/04/20,19,2,49,0,6,,
24/04/20,16,2,52,0,0,,
27/04/20,13,3,54,0,0,,
28/04/20,14,3,59,0,6,,
29/04/20,14,3,61,0,2,,
04/05/20,13,5,61,0,1,,
05/05/20,23,5,62,0,11,,
06/05/20,17,6,68,1,1,,
07/05/20,18,7,68,1,2,,
08/05/20,22,9,72,1,10,,
11/05/20,23,10,73,1,3,,
12/05/20,28,13,73,1,8,,
13/05/20,32,13,76,2,7,,
14/05/20,38,13,80,2,10,,
15/05/20,37,17,88,3,11,,
18/05/20,42,19,98,3,17,,
19/05/20,41,19,110,3,11,,
20/05/20,44,23,111,3,8,,
21/05/20,42,24,118,3,6,,
22/05/20,40,29,125,3,10,,
25/05/20,40,31,131,4,8,,
26/05/20,41,31,136,4,6,,
27/05/20,38,36,138,4,4,,
28/05/20,30,37,149,4,4,,
29/05/20,32,41,157,4,14,,
01/06/20,22,42,168,4,2,,
02/06/20,24,45,170,4,7,,
03/06/20,26,45,170,4,2,,
04/06/20,28,46,171,4,4,,
05/06/20,28,47,175,4,5,,
08/06/20,31,48,176,4,5,,
09/06/20,37,48,179,4,9,,
10/06/20,39,50,179,4,4,,
12/06/20,35,53,181,4,1,,
15/06/20,41,58,185,5,15,,
16/06/20,33,62,195,5,6,4,42
17/06/20,31,66,195,5,2,2,45
18/06/20,21,66,209,5,4,2,45
19/06/20,12,66,218,5,0,3,47
20/06/22,12,68,218,5,2,3,48
22/06/20,13,69,222,5,6,3,50
23/06/20,11,76,228,5,11,3,53
25/06/20,13,88,231,5,17,3,61
26/06/20,18,90,233,5,9,3,63
29/06/20,20,99,262,5,40,1,68
30/06/20,20,103,262,5,4,1,74
02/07/20,20,118,270,5,23,2,90
